Timestamp,Steps,Heart Rate (BPM),SpO2 (%)
2025-05-19 20:35:00,7.0,,
2025-05-19 20:40:00,0.0,,
2025-05-19 20:45:00,0.0,,
2025-05-19 20:50:00,0.0,,
2025-05-19 20:55:00,0.0,73.0,
2025-05-19 21:00:00,0.0,,
2025-05-19 21:05:00,0.0,,
2025-05-19 21:10:00,0.0,,
2025-05-19 21:15:00,0.0,,
2025-05-19 21:20:00,0.0,,
2025-05-19 21:25:00,0.0,73.0,
2025-05-19 21:30:00,0.0,,
2025-05-19 21:35:00,0.0,,
2025-05-19 21:40:00,0.0,63.0,
2025-05-19 21:45:00,0.0,,
2025-05-19 21:50:00,0.0,,
2025-05-19 21:55:00,1.0,72.0,
2025-05-19 22:00:00,0.0,89.0,99.0
2025-05-19 22:05:00,0.0,73.0,99.0
2025-05-19 22:10:00,0.0,,
2025-05-19 22:15:00,0.0,,
2025-05-19 22:20:00,0.0,,
2025-05-19 22:25:00,,,
2025-05-20 06:55:00,0.0,,
2025-05-20 07:00:00,0.0,,
2025-05-20 07:05:00,0.0,,
2025-05-20 07:10:00,0.0,,
2025-05-20 07:15:00,0.0,,
2025-05-20 07:20:00,0.0,,
2025-05-20 07:25:00,0.0,,
2025-05-20 07:30:00,0.0,,
2025-05-20 07:35:00,0.0,,
2025-05-20 07:40:00,0.0,,
2025-05-20 07:45:00,0.0,,
2025-05-20 07:50:00,0.0,,
2025-05-20 07:55:00,0.0,,
2025-05-20 08:00:00,0.0,,
2025-05-20 08:05:00,0.0,,
2025-05-20 08:10:00,45.0,,
2025-05-20 08:15:00,58.0,,
2025-05-20 08:20:00,0.0,,
2025-05-20 08:25:00,86.0,,
2025-05-20 08:30:00,292.0,,
2025-05-20 08:35:00,548.0,,
2025-05-20 08:40:00,353.0,,
2025-05-20 08:45:00,16.0,,
2025-05-20 08:50:00,12.0,87.0,97.0
2025-05-20 08:55:00,0.0,76.0,
2025-05-20 09:00:00,0.0,,
2025-05-20 09:05:00,0.0,,
2025-05-20 09:10:00,0.0,,
2025-05-20 09:15:00,0.0,,
2025-05-20 09:20:00,0.0,,99.0
2025-05-20 09:25:00,0.0,76.0,
2025-05-20 09:30:00,0.0,,
2025-05-20 09:35:00,0.0,78.0,97.0
2025-05-20 09:40:00,0.0,79.0,
2025-05-20 09:45:00,0.0,,
2025-05-20 09:50:00,0.0,,
2025-05-20 09:55:00,0.0,82.0,
2025-05-20 10:00:00,43.0,,
2025-05-20 10:05:00,29.0,,
2025-05-20 10:10:00,0.0,,
2025-05-20 10:15:00,0.0,,
2025-05-20 10:20:00,0.0,,
2025-05-20 10:25:00,0.0,87.0,
2025-05-20 10:30:00,0.0,,
2025-05-20 10:35:00,0.0,,
2025-05-20 10:40:00,0.0,,
2025-05-20 10:45:00,0.0,,
2025-05-20 10:50:00,0.0,,
2025-05-20 10:55:00,0.0,75.0,
2025-05-20 11:00:00,0.0,,
2025-05-20 11:05:00,0.0,,
2025-05-20 11:10:00,0.0,,
2025-05-20 11:15:00,0.0,84.0,97.0
2025-05-20 11:20:00,0.0,82.0,99.0
2025-05-20 11:25:00,0.0,77.0,97.0
2025-05-20 11:30:00,6.0,,
2025-05-20 11:35:00,10.0,92.0,97.0
2025-05-20 11:40:00,0.0,,98.0
2025-05-20 11:45:00,4.0,104.0,
2025-05-20 11:50:00,28.0,,
2025-05-20 11:55:00,7.0,85.0,98.0
2025-05-20 12:00:00,0.0,,
2025-05-20 12:05:00,0.0,,
2025-05-20 12:10:00,0.0,,
2025-05-20 12:15:00,0.0,,
2025-05-20 12:20:00,0.0,75.0,98.0
2025-05-20 12:25:00,0.0,92.0,
2025-05-20 12:30:00,1.0,,97.0
2025-05-20 12:35:00,6.0,83.0,97.0
2025-05-20 12:40:00,0.0,69.0,98.0
2025-05-20 12:45:00,0.0,,
2025-05-20 12:50:00,0.0,69.0,98.0
2025-05-20 12:55:00,0.0,80.0,
2025-05-20 13:00:00,0.0,,
2025-05-20 13:05:00,0.0,,
2025-05-20 13:10:00,35.0,,
2025-05-20 13:15:00,9.0,,
2025-05-20 13:20:00,0.0,,
2025-05-20 13:25:00,0.0,,
2025-05-20 13:30:00,,,
2025-05-21 09:25:00,0.0,,
2025-05-21 09:30:00,0.0,,
2025-05-21 09:35:00,0.0,,
2025-05-21 09:40:00,0.0,,
2025-05-21 09:45:00,0.0,,
2025-05-21 09:50:00,0.0,,
2025-05-21 09:55:00,0.0,91.0,
2025-05-21 10:00:00,0.0,,
2025-05-21 10:05:00,0.0,,
2025-05-21 10:10:00,0.0,,
2025-05-21 10:15:00,0.0,,
2025-05-21 10:20:00,0.0,,
2025-05-21 10:25:00,0.0,,
2025-05-21 10:30:00,0.0,,
2025-05-21 10:35:00,0.0,,
2025-05-21 10:40:00,0.0,,
2025-05-21 10:45:00,0.0,,
2025-05-21 10:50:00,0.0,,
2025-05-21 10:55:00,0.0,95.0,
2025-05-21 11:00:00,0.0,,
2025-05-21 11:05:00,0.0,,
2025-05-21 11:10:00,0.0,,
2025-05-21 11:15:00,0.0,,
2025-05-21 11:20:00,0.0,,97.0
2025-05-21 11:25:00,0.0,,97.0
2025-05-21 11:30:00,0.0,81.0,98.0
2025-05-21 11:35:00,0.0,,
2025-05-21 11:40:00,0.0,,
2025-05-21 11:45:00,,,
2025-05-21 11:50:00,0.0,,
2025-05-21 11:55:00,0.0,,
2025-05-21 12:00:00,,,
2025-05-22 09:25:00,0.0,,
2025-05-22 09:30:00,0.0,,
2025-05-22 09:35:00,0.0,,
2025-05-22 09:40:00,0.0,,
2025-05-22 09:45:00,0.0,,
2025-05-22 09:50:00,0.0,,
2025-05-22 09:55:00,0.0,,
2025-05-22 10:00:00,0.0,,
2025-05-22 10:05:00,0.0,,
2025-05-22 10:10:00,0.0,,
2025-05-22 10:15:00,0.0,,
2025-05-22 10:20:00,0.0,,
2025-05-22 10:25:00,0.0,,
2025-05-22 10:30:00,0.0,,
2025-05-22 10:35:00,0.0,,
2025-05-22 10:40:00,0.0,,
2025-05-22 10:45:00,0.0,,
2025-05-22 10:50:00,0.0,,
2025-05-22 10:55:00,0.0,,
2025-05-22 11:00:00,0.0,,
2025-05-22 11:05:00,0.0,,
2025-05-22 11:10:00,0.0,,
2025-05-22 11:15:00,0.0,,
2025-05-22 11:20:00,0.0,,
2025-05-22 11:25:00,,,
